comuna,n,date,address
Buin,7,3/29/2020,"Buin, Region Metropolitana, Chile"
Calera de Tango,6,3/29/2020,"Calera de Tango, Region Metropolitana, Chile"
Cerro Navia,19,3/29/2020,"Cerro Navia, Region Metropolitana, Chile"
Colina,32,3/29/2020,"Colina, Region Metropolitana, Chile"
Conchali,14,3/29/2020,"Conchali, Region Metropolitana, Chile"
Curacavi,5,3/29/2020,"Curacavi, Region Metropolitana, Chile"
El Bosque,18,3/29/2020,"El Bosque, Region Metropolitana, Chile"
Estacion Central,16,3/29/2020,"Estacion Central, Region Metropolitana, Chile"
Huechuraba,17,3/29/2020,"Huechuraba, Region Metropolitana, Chile"
Independencia,15,3/29/2020,"Independencia, Region Metropolitana, Chile"
La Cisterna,10,3/29/2020,"La Cisterna, Region Metropolitana, Chile"
La Florida,43,3/29/2020,"La Florida, Region Metropolitana, Chile"
La Granja,5,3/29/2020,"La Granja, Region Metropolitana, Chile"
La Reina,24,3/29/2020,"La Reina, Region Metropolitana, Chile"
Lampa,10,3/29/2020,"Lampa, Region Metropolitana, Chile"
Las Condes,181,3/29/2020,"Las Condes, Region Metropolitana, Chile"
Lo Barnechea,68,3/29/2020,"Lo Barnechea, Region Metropolitana, Chile"
Lo Espejo,4,3/29/2020,"Lo Espejo, Region Metropolitana, Chile"
Lo Prado,14,3/29/2020,"Lo Prado, Region Metropolitana, Chile"
Macul,10,3/29/2020,"Macul, Region Metropolitana, Chile"
Maipu,43,3/29/2020,"Maipu, Region Metropolitana, Chile"
Melipilla,6,3/29/2020,"Melipilla, Region Metropolitana, Chile"
Nunoa,67,3/29/2020,"Nunoa, Region Metropolitana, Chile"
Padre Hurtado,10,3/29/2020,"Padre Hurtado, Region Metropolitana, Chile"
Pedro Aguirre Cerda,7,3/29/2020,"Pedro Aguirre Cerda, Region Metropolitana, Chile"
Penaflor,10,3/29/2020,"Penaflor, Region Metropolitana, Chile"
Penalolen,31,3/29/2020,"Penalolen, Region Metropolitana, Chile"
Providencia,82,3/29/2020,"Providencia, Region Metropolitana, Chile"
Pudahuel,17,3/29/2020,"Pudahuel, Region Metropolitana, Chile"
Puente Alto,45,3/29/2020,"Puente Alto, Region Metropolitana, Chile"
Quilicura,17,3/29/2020,"Quilicura, Region Metropolitana, Chile"
Quinta Normal,21,3/29/2020,"Quinta Normal, Region Metropolitana, Chile"
Recoleta,17,3/29/2020,"Recoleta, Region Metropolitana, Chile"
Renca,9,3/29/2020,"Renca, Region Metropolitana, Chile"
San Bernardo,32,3/29/2020,"San Bernardo, Region Metropolitana, Chile"
San Joaquin,13,3/29/2020,"San Joaquin, Region Metropolitana, Chile"
San Miguel,25,3/29/2020,"San Miguel, Region Metropolitana, Chile"
Santiago,127,3/29/2020,"Santiago, Region Metropolitana, Chile"
Vitacura,83,3/29/2020,"Vitacura, Region Metropolitana, Chile"
