date,Basica,Media,UTI,UCI
4/16/2020,384,157,111,384
4/17/2020,385,113,168,407
4/18/2020,360,131,180,380
4/19/2020,407,195,134,373
4/20/2020,424,204,129,377
4/21/2020,428,202,121,392
4/22/2020,422,219,184,399
4/23/2020,470,192,120,411
4/24/2020,489,189,118,415
4/25/2020,494,193,125,418
4/26/2020,517,212,118,415
4/27/2020,513,225,122,426
4/28/2020,562,242,121,428
4/29/2020,589,245,130,418
4/30/2020,595,245,137,419
5/1/2020,612,248,161,428
5/2/2020,653,255,171,425
5/3/2020,712,256,184,449
5/4/2020,787,280,198,464
5/5/2020,836,278,214,470
5/6/2020,908,308,213,486
5/7/2020,989,328,219,493
5/8/2020,1055,351,239,508
5/9/2020,1119,359,237,544
5/10/2020,1163,372,262,565
5/11/2020,1201,391,280,574
